Seed,1st Pick,2st Pick,3st Pick,4st Pick,5st Pick,6st Pick,7st Pick,8st Pick,9st Pick,10st Pick,11st Pick,12st Pick,13st Pick,14st Pick,15st Pick,16st Pick
1,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.113,0.1275395033860045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.112,0.12641083521444696,0.1448900388098318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.111,0.1252821670428894,0.14359637774902975,0.16792738275340394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.099,0.11173814898419865,0.12807244501940493,0.14977307110438728,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.089,0.10045146726862303,0.11513583441138421,0.1346444780635401,0.1618181818181818,0.1973392461197339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.079,0.08916478555304741,0.10219922380336352,0.11951588502269289,0.14363636363636365,0.17516629711751663,0.21823204419889503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.069,0.07787810383747178,0.08926261319534282,0.1043872919818457,0.12545454545454546,0.15299334811529933,0.19060773480662985,0.24381625441696114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.059,0.06659142212189616,0.07632600258732213,0.08925869894099848,0.10727272727272727,0.13082039911308205,0.16298342541436464,0.20848056537102475,0.2757009345794392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.049,0.055304740406320545,0.06338939197930142,0.07413010590015129,0.0890909090909091,0.10864745011086474,0.13535911602209943,0.17314487632508835,0.22897196261682243,0.3161290322580645,0.0,0.0,0.0,0.0,0.0,0.0
11,0.039,0.04401805869074492,0.050452781371280724,0.059001512859304085,0.07090909090909091,0.08647450110864745,0.10773480662983426,0.13780918727915195,0.1822429906542056,0.25161290322580643,0.36792452830188677,0.0,0.0,0.0,0.0,0.0
12,0.029,0.0327313769751693,0.037516170763260026,0.04387291981845688,0.05272727272727273,0.06430155210643015,0.08011049723756906,0.10247349823321555,0.13551401869158877,0.1870967741935484,0.27358490566037735,0.43283582089552236,0.0,0.0,0.0,0.0
13,0.019,0.02144469525959368,0.02457956015523933,0.028744326777609682,0.034545454545454546,0.04212860310421286,0.052486187845303865,0.06713780918727916,0.08878504672897196,0.12258064516129032,0.1792452830188679,0.2835820895522388,0.5,0.0,0.0,0.0
14,0.009,0.010158013544018058,0.01164294954721863,0.01361573373676248,0.016363636363636365,0.019955654101995565,0.024861878453038673,0.03180212014134275,0.04205607476635514,0.05806451612903226,0.08490566037735849,0.13432835820895522,0.23684210526315788,0.47368421052631576,0.0,0.0
15,0.006,0.006772009029345372,0.007761966364812419,0.009077155824508321,0.01090909090909091,0.013303769401330377,0.016574585635359115,0.02120141342756184,0.028037383177570093,0.03870967741935484,0.05660377358490566,0.08955223880597014,0.15789473684210525,0.3157894736842105,0.6,0.0
16,0.004,0.004514672686230248,0.00517464424320828,0.006051437216338881,0.007272727272727273,0.008869179600886918,0.011049723756906077,0.014134275618374558,0.018691588785046728,0.025806451612903226,0.03773584905660377,0.05970149253731343,0.10526315789473684,0.21052631578947367,0.4,1.0
